Name,Description,Images,No questions
Great spider crab,"Hyas araneus is a species of ten-footed crustaceans. Red brown to grey in colour over the carapace, off white on the underside. It has small hooks on its carapace that enable it to attach for example bits of algae and sponges with its claw. ",great_spider_crab_1.jpg,
Deep sea king crab,"Lithodes maja is covered by large spikes on both the dorsal shell side and the limbs. The
 color is usually brown or orange. The claws are slender, relative to 
the body size. The almost circular carapace can reach a diameter of 13-14 cm.",deep_sea_king_crab_1.jpg,
Norway lobster,"Nephrops norvegicus is relatively small lobster, not exceeding 25 cm, including the claws. The color is
 orange or red. The 
first three pair of legs have claws. The first pair of legs are 
elongated with spiny ridges. The shell of the head and body (thorax) is 
not segmented, while the tail is divided into six segments. The rostrum (the spine in its forehead) has as many as 
five spines on each side.",norway_lobster_1.jpg;norway_lobster_2.jpg,
Crustacean (any species),"There are many species of crustaceans down there. If you recognise a crustacean but its none of the available species, you can use this choice. If you recognise the species, you can add your identification by pressing the 'talk' button that appears in the next step.",Crust_Homarus.jpg;Crust_Euphasia.jpg,
Black brittle star,"Ophiocomina nigra is a relatively large brittle star, reaching a diameter of 25 cm in 
some cases. The color is black or dark grey. The surface of the central 
disk is smooth. The diameter of the disk is approximately one fifth of 
the arm length. The arms are thicker than the arms of most brittle 
stars. The arm spines are thin and colored white or grey.",black_brittle_star_1.jpg;black_brittle_star_2.jpg,
Common sunstar,"Crossaster papposus has more than the usual five arms. Usually it has 12, sometimes as many as 16 or as few as 8. It can reach a diameter of 34 cm. The color is usually red with light ribbons on the arms.",common_sunstar_1.jpg;common_sunstar_2.jpg,
Cushin star,"The cushin star Porania pulvillus is a beautiful sea star that comes in different shades of red. The large 
central disk is convex. It has five short, fleshy arms. The diameter 
rarely exceeds 12 cm. The skin is smooth, but covered by a large number 
of small gills used for respiration.",Porania_pulvillus_1.jpg;sea_star_1.jpg;sea_star_2.jpg,
Common sea urchin,Echinus esculentus has a almost complete shperical shape which is slightly flattened at both poles. The urchin grows up to 15 cm in diameter and has a reddish or purplish colour.,Echinus_esculentus.jpg;Echinus esculentus_1.jpg;Echinus_esculentus_2.JPG,
Sugar starfish,"Asterias rubens has five arms and usually grows to between 10–30 cm across. The animals are typically orange, brown, or violet- but deep-water specimens can be pale white. The animal is often found on rocky and gravelly substrates where it feeds on molluscs and other benthic invertebrates.",Asterias_rubens_1.jpg;Asterias_rubens_2.jpg,
Rosy feather star,"Antedon bifida is a feather star consisting of a concave disc surrounded by ten arms giving it a fern-like appearance. The arms can be up to 10 cm long but are usually shorter than this. The arm colour is variable, ranging from yellow or pink to deep purple, sometimes spotted or blotched.",Antedon_bifida.jpg;Antedon_bifida_2.jpg,
Echinoderm (any species),"There are many species of echinoderms down there. If you recognise an echinoderm but its none of the available species, you can use this choice. If you recognise the species, you can add your identification by pressing the 'talk' button that appears in the next step.",Echino_stochopus.jpg;Echino_Ophiopholis.jpg;Echino_Echinus acutus.jpg;Echino_Cumaria.jpg,
File clam,Acesta excavata is a typical mussel living in deeper waters. It usually attached to rocks or hard substrates and grows up tp 15 cm in size. The body between the shells often has an orange color.,Acesta excavata_4.jpg;Acesta excavata_1.jpg,
Bivalves (any species),"The obvious method to identify bivalves is that they have two shells joined together by strong ligaments. There are many species of bivalves down there. If you recognise the species, select this choice and add your identification by pressing the 'talk' button that appears in the next step.",bivalve_1.jpg;bivalve_2.jpg;bivalve_3.jpg,
Gastropods (any species),"Gastropodos are a very diverse group of mollusks including seaslugs, snails, and nudibranch. There are many species of gastropods down there. If you recognise the 
species, select this choice and add your identification by pressing the 'talk' button that appears in the next step.",gastropod_1.jpg;gastropod_2.jpg;gastropod_3.jpg,
Fish (any species),"Identifying fish to the species level is really hard in our footage, so you can use this choice for all fish. But if you can recognise the species, you can add your identification by pressing the 'talk' button that appears in the next step.",fish_1.jpg;fish_2.jpg,
Human objects,"The Swedish West Coast is exposed to old fishing material and litter washed in from the North Sea. Unfortunately, some of these objects sinks down to the sea floor.",human_objects_1.jpg,
Nothing here,"Sometimes the ROV is moving from one place to another and you will only see dust and sand in the video. If you can't identify any animal in the video select this choice. If you see animals that are not included in the identification options, select this ""Nothing here"" choice and use the talk bottom to leave a comment about what you saw.",nothing_here_1.jpg;nothing_here_2.jpg,
